SINGLE TISSUE, FREQUENCY RANGE
TISSUE: CerebroSpinalFluid

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
CerebroSpinalFluid    1.2993e+10     2.1044e+1     4.6996e+1  
CerebroSpinalFluid    1.3060e+10     2.1169e+1     4.6880e+1  
CerebroSpinalFluid    1.3127e+10     2.1295e+1     4.6764e+1  
CerebroSpinalFluid    1.3194e+10     2.1420e+1     4.6648e+1  
CerebroSpinalFluid    1.3261e+10     2.1545e+1     4.6533e+1  
CerebroSpinalFluid    1.3328e+10     2.1670e+1     4.6418e+1  
CerebroSpinalFluid    1.3396e+10     2.1795e+1     4.6303e+1  
CerebroSpinalFluid    1.3463e+10     2.1919e+1     4.6189e+1  
CerebroSpinalFluid    1.3530e+10     2.2044e+1     4.6075e+1  
CerebroSpinalFluid    1.3597e+10     2.2168e+1     4.5961e+1  
CerebroSpinalFluid    1.3664e+10     2.2293e+1     4.5847e+1  
CerebroSpinalFluid    1.3731e+10     2.2417e+1     4.5734e+1  
CerebroSpinalFluid    1.3799e+10     2.2541e+1     4.5621e+1  
CerebroSpinalFluid    1.3866e+10     2.2665e+1     4.5508e+1  
CerebroSpinalFluid    1.3933e+10     2.2788e+1     4.5396e+1  
CerebroSpinalFluid    1.4000e+10     2.2912e+1     4.5284e+1  
