SINGLE TISSUE, FREQUENCY RANGE
TISSUE: BoneCortical

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
BoneCortical          1.2321e+10     2.6255e+0     7.4745e+0  
BoneCortical          1.2388e+10     2.6390e+0     7.4576e+0  
BoneCortical          1.2455e+10     2.6525e+0     7.4409e+0  
BoneCortical          1.2522e+10     2.6659e+0     7.4242e+0  
BoneCortical          1.2590e+10     2.6793e+0     7.4076e+0  
BoneCortical          1.2657e+10     2.6927e+0     7.3912e+0  
BoneCortical          1.2724e+10     2.7060e+0     7.3748e+0  
BoneCortical          1.2791e+10     2.7193e+0     7.3585e+0  
BoneCortical          1.2858e+10     2.7325e+0     7.3423e+0  
BoneCortical          1.2925e+10     2.7457e+0     7.3262e+0  
BoneCortical          1.2993e+10     2.7589e+0     7.3102e+0  
BoneCortical          1.3060e+10     2.7720e+0     7.2942e+0  
BoneCortical          1.3127e+10     2.7851e+0     7.2784e+0  
BoneCortical          1.3194e+10     2.7982e+0     7.2627e+0  
BoneCortical          1.3261e+10     2.8112e+0     7.2470e+0  
BoneCortical          1.3328e+10     2.8242e+0     7.2314e+0  
BoneCortical          1.3396e+10     2.8371e+0     7.2159e+0  
BoneCortical          1.3463e+10     2.8500e+0     7.2005e+0  
BoneCortical          1.3530e+10     2.8629e+0     7.1852e+0  
BoneCortical          1.3597e+10     2.8757e+0     7.1699e+0  
BoneCortical          1.3664e+10     2.8885e+0     7.1548e+0  
BoneCortical          1.3731e+10     2.9013e+0     7.1397e+0  
BoneCortical          1.3799e+10     2.9140e+0     7.1247e+0  
BoneCortical          1.3866e+10     2.9267e+0     7.1098e+0  
BoneCortical          1.3933e+10     2.9393e+0     7.0950e+0  
BoneCortical          1.4000e+10     2.9519e+0     7.0802e+0  
