"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",BrainWhiteMatter
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
BrainWhiteMatter  ,   2.7500e+9,   1.3717e+0,   3.5820e+1,   2.5031e-1,   1.8076e-2,   2.3341e-2,
BrainWhiteMatter  ,   2.7800e+9,   1.3879e+0,   3.5786e+1,   2.5078e-1,   1.7889e-2,   2.3057e-2,
BrainWhiteMatter  ,   2.8100e+9,   1.4043e+0,   3.5752e+1,   2.5127e-1,   1.7706e-2,   2.2778e-2,
BrainWhiteMatter  ,   2.8400e+9,   1.4208e+0,   3.5718e+1,   2.5177e-1,   1.7526e-2,   2.2504e-2,
BrainWhiteMatter  ,   2.8700e+9,   1.4374e+0,   3.5685e+1,   2.5229e-1,   1.7351e-2,   2.2234e-2,
BrainWhiteMatter  ,   2.9000e+9,   1.4541e+0,   3.5652e+1,   2.5282e-1,   1.7179e-2,   2.1969e-2,
BrainWhiteMatter  ,   2.9300e+9,   1.4709e+0,   3.5618e+1,   2.5336e-1,   1.7010e-2,   2.1709e-2,
BrainWhiteMatter  ,   2.9600e+9,   1.4879e+0,   3.5585e+1,   2.5391e-1,   1.6845e-2,   2.1453e-2,
BrainWhiteMatter  ,   2.9900e+9,   1.5049e+0,   3.5552e+1,   2.5448e-1,   1.6683e-2,   2.1201e-2,
BrainWhiteMatter  ,   3.0200e+9,   1.5220e+0,   3.5519e+1,   2.5505e-1,   1.6525e-2,   2.0953e-2,
BrainWhiteMatter  ,   3.0500e+9,   1.5393e+0,   3.5487e+1,   2.5564e-1,   1.6369e-2,   2.0710e-2,
BrainWhiteMatter  ,   3.0800e+9,   1.5566e+0,   3.5454e+1,   2.5624e-1,   1.6217e-2,   2.0470e-2,
BrainWhiteMatter  ,   3.1100e+9,   1.5740e+0,   3.5421e+1,   2.5685e-1,   1.6067e-2,   2.0235e-2,
BrainWhiteMatter  ,   3.1400e+9,   1.5916e+0,   3.5389e+1,   2.5747e-1,   1.5920e-2,   2.0003e-2,
BrainWhiteMatter  ,   3.1700e+9,   1.6092e+0,   3.5356e+1,   2.5810e-1,   1.5776e-2,   1.9776e-2,
BrainWhiteMatter  ,   3.2000e+9,   1.6270e+0,   3.5324e+1,   2.5873e-1,   1.5635e-2,   1.9552e-2,
BrainWhiteMatter  ,   3.2300e+9,   1.6449e+0,   3.5291e+1,   2.5938e-1,   1.5496e-2,   1.9331e-2,
BrainWhiteMatter  ,   3.2600e+9,   1.6628e+0,   3.5259e+1,   2.6004e-1,   1.5360e-2,   1.9114e-2,
BrainWhiteMatter  ,   3.2900e+9,   1.6809e+0,   3.5227e+1,   2.6070e-1,   1.5226e-2,   1.8901e-2,
BrainWhiteMatter  ,   3.3200e+9,   1.6990e+0,   3.5195e+1,   2.6138e-1,   1.5095e-2,   1.8692e-2,
BrainWhiteMatter  ,   3.3500e+9,   1.7173e+0,   3.5162e+1,   2.6206e-1,   1.4966e-2,   1.8485e-2,
BrainWhiteMatter  ,   3.3800e+9,   1.7356e+0,   3.5130e+1,   2.6275e-1,   1.4839e-2,   1.8282e-2,
BrainWhiteMatter  ,   3.4100e+9,   1.7541e+0,   3.5098e+1,   2.6344e-1,   1.4715e-2,   1.8082e-2,
BrainWhiteMatter  ,   3.4400e+9,   1.7726e+0,   3.5067e+1,   2.6415e-1,   1.4592e-2,   1.7886e-2,
BrainWhiteMatter  ,   3.4700e+9,   1.7913e+0,   3.5035e+1,   2.6486e-1,   1.4472e-2,   1.7692e-2,
BrainWhiteMatter  ,   3.5000e+9,   1.8100e+0,   3.5003e+1,   2.6558e-1,   1.4354e-2,   1.7502e-2,
